idx,description,wnid,base_accuracy
163,bloodhound,n02088466,0.46
170,Irish_wolfhound,n02090721,0.46
180,American_Staffordshire_terrier,n02093428,0.46
271,red_wolf,n02114712,0.46
285,Egyptian_cat,n02124075,0.46
341,hog,n02395406,0.46
419,Band_Aid,n02786058,0.46
481,cassette,n02978881,0.46
494,chime,n03017168,0.46
515,cowboy_hat,n03124170,0.46
578,gown,n03450230,0.46
582,grocery_store,n03461385,0.46
624,library,n03661043,0.46
626,lighter,n03666591,0.46
632,loudspeaker,n03691459,0.46
651,microwave,n03761084,0.46
702,parallel_bars,n03888605,0.46
705,passenger_car,n03895866,0.46
710,pencil_sharpener,n03908714,0.46
718,pier,n03933933,0.46
740,power_drill,n03995372,0.46
762,restaurant,n04081281,0.46
792,shovel,n04208210,0.46
797,sleeping_bag,n04235860,0.46
826,stopwatch,n04328186,0.46
835,sundial,n04355338,0.46
842,swimming_trunks,n04371430,0.46
851,television,n04404412,0.46
868,tray,n04476259,0.46
883,vase,n04522168,0.46
893,wallet,n04548362,0.46
910,wooden_spoon,n04597913,0.46
923,plate,n07579787,0.46
978,seashore,n09428293,0.46
67,diamondback,n01755581,0.48
158,toy_terrier,n02087046,0.48
185,Norfolk_terrier,n02094114,0.48
226,briard,n02105251,0.48
303,long-horned_beetle,n02168699,0.48
312,cricket,n02229544,0.48
315,mantis,n02236044,0.48
473,can_opener,n02951585,0.48
509,confectionery,n03089624,0.48
526,desk,n03179701,0.48
543,dumbbell,n03255030,0.48
559,folding_chair,n03376595,0.48
587,hammer,n03481172,0.48
601,hoopskirt,n03534580,0.48
636,mailbag,n03709823,0.48
675,moving_van,n03796401,0.48
750,quilt,n04033995,0.48
804,soap_dispenser,n04254120,0.48
856,thresher,n04428191,0.48
930,French_loaf,n07684084,0.48
998,ear,n13133613,0.48
58,water_snake,n01737021,0.5
59,vine_snake,n01739381,0.5
159,Rhodesian_ridgeback,n02087394,0.5
237,miniature_pinscher,n02107312,0.5
241,EntleBucher,n02108000,0.5
311,grasshopper,n02226429,0.5
359,black-footed_ferret,n02443484,0.5
369,siamang,n02483708,0.5
374,langur,n02488291,0.5
380,titi,n02493509,0.5
390,eel,n02526121,0.5
504,coffee_mug,n03063599,0.5
505,coffeepot,n03063689,0.5
506,coil,n03065424,0.5
536,dock,n03216828,0.5
539,doormat,n03223299,0.5
549,envelope,n03291819,0.5
556,fire_screen,n03347037,0.5
581,grille,n03459775,0.5
665,moped,n03785016,0.5
692,packet,n03871628,0.5
708,pedestal,n03903868,0.5
767,rubber_eraser,n04116512,0.5
810,space_bar,n04264628,0.5
811,space_heater,n04265275,0.5
828,strainer,n04332243,0.5
864,tow_truck,n04461696,0.5
875,trombone,n04487394,0.5
887,vestment,n04532106,0.5
889,violin,n04536866,0.5
925,consomme,n07584110,0.5
967,espresso,n07920052,0.5
26,common_newt,n01630670,0.52
64,green_mamba,n01749939,0.52
151,Chihuahua,n02085620,0.52
201,silky_terrier,n02097658,0.52
204,Lhasa,n02098413,0.52
302,ground_beetle,n02167151,0.52
427,barrel,n02795169,0.52
434,bath_towel,n02808304,0.52
446,binder,n02840245,0.52
478,carton,n02971356,0.52
487,cellular_telephone,n02992529,0.52
502,clog,n03047690,0.52
527,desktop_computer,n03180011,0.52
647,measuring_cup,n03733805,0.52
657,missile,n03773504,0.52
686,oil_filter,n03843555,0.52
697,pajama,n03877472,0.52
775,sarong,n04136333,0.52
808,sombrero,n04259630,0.52
827,stove,n04330267,0.52
867,trailer_truck,n04467665,0.52
878,typewriter_keyboard,n04505470,0.52
966,red_wine,n07892512,0.52
976,promontory,n09399592,0.52
977,sandbar,n09421951,0.52
189,Lakeland_terrier,n02095570,0.54
192,cairn,n02096177,0.54
202,soft-coated_wheaten_terrier,n02098105,0.54
219,cocker_spaniel,n02102318,0.54
264,Cardigan,n02113186,0.54
277,red_fox,n02119022,0.54
281,tabby,n02123045,0.54
298,mongoose,n02137549,0.54
313,walking_stick,n02231487,0.54
348,ram,n02412080,0.54
357,mink,n02442845,0.54
408,amphibian,n02704792,0.54
441,beer_glass,n02823750,0.54
456,bow,n02879718,0.54
530,digital_clock,n03196217,0.54
593,harmonica,n03494278,0.54
774,sandal,n04133789,0.54
778,scale,n04141975,0.54
790,shopping_basket,n04204238,0.54
846,table_lamp,n04380533,0.54
902,whistle,n04579432,0.54
908,wing,n04592741,0.54
928,ice_cream,n07614500,0.54
929,ice_lolly,n07615774,0.54
962,meat_loaf,n07871810,0.54
66,horned_viper,n01753488,0.56
119,rock_crab,n01978455,0.56
120,fiddler_crab,n01980166,0.56
126,isopod,n01990800,0.56
134,crane,n02012849,0.56
166,Walker_hound,n02089867,0.56
175,otterhound,n02091635,0.56
176,Saluki,n02091831,0.56
179,Staffordshire_bullterrier,n02093256,0.56
184,Irish_terrier,n02093991,0.56
231,collie,n02106030,0.56
246,Great_Dane,n02109047,0.56
250,Siberian_husky,n02110185,0.56
314,cockroach,n02233338,0.56
371,patas,n02486261,0.56
386,African_elephant,n02504458,0.56
391,coho,n02536864,0.56
443,bib,n02834397,0.56
454,bookshop,n02871525,0.56
455,bottlecap,n02877765,0.56
470,candle,n02948072,0.56
507,combination_lock,n03075370,0.56
519,crate,n03127925,0.56
551,face_powder,n03314780,0.56
563,fountain_pen,n03388183,0.56
570,gasmask,n03424325,0.56
598,home_theater,n03529860,0.56
648,medicine_chest,n03742115,0.56
663,monastery,n03781244,0.56
737,pop_bottle,n03983396,0.56
745,projector,n04009552,0.56
776,sax,n04141076,0.56
794,shower_curtain,n04209239,0.56
806,sock,n04254777,0.56
816,spindle,n04277352,0.56
839,suspension_bridge,n04366367,0.56
939,zucchini,n07716358,0.56
964,potpie,n07875152,0.56
970,alp,n09193705,0.56
975,lakeside,n09332890,0.56
30,bullfrog,n01641577,0.58
49,African_crocodile,n01697457,0.58
55,green_snake,n01729977,0.58
74,garden_spider,n01773797,0.58
101,tusker,n01871265,0.58
106,wombat,n01883070,0.58
155,Shih-Tzu,n02086240,0.58
197,giant_schnauzer,n02097130,0.58
227,kelpie,n02105412,0.58
230,Shetland_sheepdog,n02105855,0.58
242,boxer,n02108089,0.58
249,malamute,n02110063,0.58
304,leaf_beetle,n02169497,0.58
309,bee,n02206856,0.58
353,gazelle,n02423022,0.58
394,sturgeon,n02640242,0.58
395,gar,n02641379,0.58
428,barrow,n02797295,0.58
429,baseball,n02799071,0.58
433,bathing_cap,n02807133,0.58
449,boathouse,n02859443,0.58
453,bookcase,n02870880,0.58
462,broom,n02906734,0.58
474,cardigan,n02963159,0.58
477,carpenter's_kit,n02966687,0.58
484,catamaran,n02981792,0.58
529,diaper,n03188531,0.58
531,digital_watch,n03197337,0.58
545,electric_fan,n03271574,0.58
566,French_horn,n03394916,0.58
572,goblet,n03443371,0.58
641,maraca,n03720891,0.58
693,paddle,n03873416,0.58
712,Petri_dish,n03920288,0.58
723,pinwheel,n03944341,0.58
730,plow,n03967562,0.58
747,punching_bag,n04023962,0.58
752,racket,n04039381,0.58
759,reflex_camera,n04069434,0.58
795,ski,n04228054,0.58
815,spider_web,n04275548,0.58
845,syringe,n04376876,0.58
855,thimble,n04423845,0.58
859,toaster,n04442312,0.58
861,toilet_seat,n04447861,0.58
891,waffle_iron,n04542943,0.58
894,wardrobe,n04550184,0.58
921,book_jacket,n07248320,0.58
924,guacamole,n07583066,0.58
926,hot_pot,n07590611,0.58
942,butternut_squash,n07717556,0.58
997,bolete,n13054560,0.58
50,American_alligator,n01698640,0.6
52,thunder_snake,n01728572,0.6
108,sea_anemone,n01914609,0.6
186,Norwich_terrier,n02094258,0.6
196,miniature_schnauzer,n02097047,0.6
207,golden_retriever,n02099601,0.6
220,Sussex_spaniel,n02102480,0.6
236,Doberman,n02107142,0.6
272,coyote,n02114855,0.6
287,lynx,n02127052,0.6
297,sloth_bear,n02134418,0.6
320,damselfly,n02268853,0.6
389,barracouta,n02514041,0.6
432,bassoon,n02804610,0.6
445,bikini,n02837789,0.6
457,bow_tie,n02883205,0.6
489,chainlink_fence,n03000134,0.6
557,flagpole,n03355925,0.6
579,grand_piano,n03452741,0.6
608,jean,n03594734,0.6
631,lotion,n03690938,0.6
635,magnetic_compass,n03706229,0.6
653,milk_can,n03764736,0.6
660,mobile_home,n03776460,0.6
677,nail,n03804744,0.6
696,paintbrush,n03876231,0.6
698,palace,n03877845,0.6
770,running_shoe,n04120489,0.6
798,slide_rule,n04238763,0.6
819,stage,n04296562,0.6
844,switch,n04372370,0.6
935,mashed_potato,n07711569,0.6
949,strawberry,n07745940,0.6
3,tiger_shark,n01491361,0.62
6,stingray,n01498041,0.62
33,loggerhead,n01664065,0.62
38,banded_gecko,n01675722,0.62
86,partridge,n01807496,0.62
110,flatworm,n01924916,0.62
114,slug,n01945685,0.62
122,American_lobster,n01983481,0.62
123,spiny_lobster,n01984695,0.62
165,black-and-tan_coonhound,n02089078,0.62
205,flat-coated_retriever,n02099267,0.62
222,kuvasz,n02104029,0.62
233,Bouvier_des_Flandres,n02106382,0.62
290,jaguar,n02128925,0.62
337,beaver,n02363005,0.62
452,bonnet,n02869837,0.62
460,breakwater,n02894605,0.62
490,chain_mail,n03000247,0.62
508,computer_keyboard,n03085013,0.62
512,corkscrew,n03109150,0.62
544,Dutch_oven,n03259280,0.62
591,handkerchief,n03485794,0.62
613,joystick,n03602883,0.62
629,lipstick,n03676483,0.62
662,modem,n03777754,0.62
683,oboe,n03838899,0.62
706,patio,n03899768,0.62
715,pickelhaube,n03929855,0.62
749,quill,n04033901,0.62
761,remote_control,n04074963,0.62
785,seat_belt,n04162706,0.62
788,shoe_shop,n04200800,0.62
793,shower_cap,n04209133,0.62
831,studio_couch,n04344873,0.62
857,throne,n04429376,0.62
858,tile_roof,n04435653,0.62
872,tripod,n04485082,0.62
882,vacuum,n04517823,0.62
981,ballplayer,n09835506,0.62
982,groom,n10148035,0.62
5,electric_ray,n01496331,0.64
41,whiptail,n01685808,0.64
61,boa_constrictor,n01742172,0.64
70,harvestman,n01770081,0.64
78,tick,n01776313,0.64
99,goose,n01855672,0.64
168,redbone,n02090379,0.64
206,curly-coated_retriever,n02099429,0.64
210,German_short-haired_pointer,n02100236,0.64
329,sea_cucumber,n02321529,0.64
411,apron,n02730930,0.64
421,bannister,n02788148,0.64
422,barbell,n02790996,0.64
440,beer_bottle,n02823428,0.64
486,cello,n02992211,0.64
492,chest,n03014705,0.64
497,church,n03028079,0.64
498,cinema,n03032252,0.64
503,cocktail_shaker,n03062245,0.64
546,electric_guitar,n03272010,0.64
588,hamper,n03482405,0.64
630,Loafer,n03680355,0.64
644,matchstick,n03729826,0.64
666,mortar,n03786901,0.64
667,mortarboard,n03787032,0.64
703,park_bench,n03891251,0.64
753,radiator,n04040759,0.64
760,refrigerator,n04070727,0.64
773,saltshaker,n04131690,0.64
789,shoji,n04201297,0.64
807,solar_dish,n04258138,0.64
7,cock,n01514668,0.66
39,common_iguana,n01677366,0.66
56,king_snake,n01734418,0.66
79,centipede,n01784675,0.66
153,Maltese_dog,n02085936,0.66
171,Italian_greyhound,n02091032,0.66
208,Labrador_retriever,n02099712,0.66
209,Chesapeake_Bay_retriever,n02099849,0.66
211,vizsla,n02100583,0.66
212,English_setter,n02100735,0.66
232,Border_collie,n02106166,0.66
238,Greater_Swiss_Mountain_dog,n02107574,0.66
252,affenpinscher,n02110627,0.66
257,Great_Pyrenees,n02111500,0.66
262,Brabancon_griffon,n02112706,0.66
310,ant,n02219486,0.66
316,cicada,n02256656,0.66
319,dragonfly,n02268443,0.66
346,water_buffalo,n02408429,0.66
368,gibbon,n02483362,0.66
373,macaque,n02487347,0.66
521,Crock_Pot,n03133878,0.66
592,hard_disc,n03492542,0.66
609,jeep,n03594945,0.66
674,mousetrap,n03794056,0.66
719,piggy_bank,n03935335,0.66
721,pillow,n03938244,0.66
777,scabbard,n04141327,0.66
791,shopping_cart,n04204347,0.66
796,ski_mask,n04229816,0.66
862,torch,n04456115,0.66
865,toyshop,n04462240,0.66
901,whiskey_jug,n04579145,0.66
904,window_screen,n04589890,0.66
912,worm_fence,n04604644,0.66
943,cucumber,n07718472,0.66
965,burrito,n07880968,0.66
972,cliff,n09246464,0.66
21,kite,n01608432,0.68
43,frilled_lizard,n01688243,0.68
48,Komodo_dragon,n01695060,0.68
65,sea_snake,n01751748,0.68
104,wallaby,n01877812,0.68
112,conch,n01943899,0.68
131,little_blue_heron,n02009229,0.68
160,Afghan_hound,n02088094,0.68
162,beagle,n02088364,0.68
172,whippet,n02091134,0.68
173,Ibizan_hound,n02091244,0.68
182,Border_terrier,n02093754,0.68
198,standard_schnauzer,n02097209,0.68
199,Scotch_terrier,n02097298,0.68
213,Irish_setter,n02100877,0.68
224,groenendael,n02105056,0.68
235,German_shepherd,n02106662,0.68
269,timber_wolf,n02114367,0.68
273,dingo,n02115641,0.68
330,wood_rabbit,n02325366,0.68
342,wild_boar,n02396427,0.68
343,warthog,n02397096,0.68
360,otter,n02444819,0.68
367,chimpanzee,n02481823,0.68
423,barber_chair,n02791124,0.68
468,cab,n02930766,0.68
511,convertible,n03100240,0.68
520,crib,n03131574,0.68
603,horse_cart,n03538406,0.68
605,iPod,n03584254,0.68
682,obelisk,n03837869,0.68
684,ocarina,n03840681,0.68
720,pill_bottle,n03937543,0.68
734,police_van,n03977966,0.68
735,poncho,n03980874,0.68
769,rule,n04118776,0.68
849,teapot,n04398044,0.68
895,warplane,n04552348,0.68
903,wig,n04584207,0.68
931,bagel,n07693725,0.68
934,hotdog,n07697537,0.68
27,eft,n01631663,0.7
28,spotted_salamander,n01632458,0.7
45,Gila_monster,n01692333,0.7
103,platypus,n01873310,0.7
118,Dungeness_crab,n01978287,0.7
140,red-backed_sandpiper,n02027492,0.7
183,Kerry_blue_terrier,n02093859,0.7
194,Dandie_Dinmont,n02096437,0.7
234,Rottweiler,n02106550,0.7
267,standard_poodle,n02113799,0.7
280,grey_fox,n02120505,0.7
328,sea_urchin,n02319095,0.7
377,marmoset,n02490219,0.7
378,capuchin,n02492035,0.7
397,puffer,n02655020,0.7
399,abaya,n02667093,0.7
444,bicycle-built-for-two,n02835271,0.7
517,crane,n03126707,0.7
532,dining_table,n03201208,0.7
583,guillotine,n03467068,0.7
586,half_track,n03478589,0.7
597,holster,n03527444,0.7
606,iron,n03584829,0.7
615,knee_pad,n03623198,0.7
616,knot,n03627232,0.7
627,limousine,n03670208,0.7
658,mitten,n03775071,0.7
659,mixing_bowl,n03775546,0.7
680,nipple,n03825788,0.7
690,oxcart,n03868242,0.7
695,padlock,n03874599,0.7
707,pay-phone,n03902125,0.7
714,pick,n03929660,0.7
726,plane,n03954731,0.7
741,prayer_rug,n03998194,0.7
743,prison,n04005630,0.7
751,racer,n04037443,0.7
763,revolver,n04086273,0.7
871,trimaran,n04483307,0.7
877,turnstile,n04501370,0.7
880,unicycle,n04509417,0.7
919,street_sign,n06794110,0.7
932,pretzel,n07695742,0.7
944,artichoke,n07718747,0.7
950,orange,n07747607,0.7
980,volcano,n09472597,0.7
47,African_chameleon,n01694178,0.72
63,Indian_cobra,n01748264,0.72
75,black_widow,n01774384,0.72
77,wolf_spider,n01775062,0.72
109,brain_coral,n01917289,0.72
152,Japanese_spaniel,n02085782,0.72
154,Pekinese,n02086079,0.72
157,papillon,n02086910,0.72
177,Scottish_deerhound,n02092002,0.72
243,bull_mastiff,n02108422,0.72
245,French_bulldog,n02108915,0.72
263,Pembroke,n02113023,0.72
352,impala,n02422699,0.72
401,accordion,n02672831,0.72
406,altar,n02699494,0.72
431,bassinet,n02804414,0.72
467,butcher_shop,n02927161,0.72
480,cash_machine,n02977058,0.72
553,file,n03337140,0.72
571,gas_pump,n03425413,0.72
602,horizontal_bar,n03535780,0.72
610,jersey,n03595614,0.72
617,lab_coat,n03630383,0.72
699,panpipe,n03884397,0.72
711,perfume,n03916031,0.72
786,sewing_machine,n04179913,0.72
814,speedboat,n04273569,0.72
843,swing,n04371774,0.72
850,teddy,n04399382,0.72
884,vault,n04523525,0.72
940,spaghetti_squash,n07716906,0.72
952,fig,n07753113,0.72
953,pineapple,n07753275,0.72
963,pizza,n07873807,0.72
76,tarantula,n01774750,0.74
82,ruffed_grouse,n01797886,0.74
97,drake,n01847000,0.74
113,snail,n01944390,0.74
133,bittern,n02011460,0.74
188,wire-haired_fox_terrier,n02095314,0.74
215,Brittany_spaniel,n02101388,0.74
223,schipperke,n02104365,0.74
283,Persian_cat,n02123394,0.74
286,cougar,n02125311,0.74
307,weevil,n02177972,0.74
318,lacewing,n02264363,0.74
335,fox_squirrel,n02356798,0.74
338,guinea_pig,n02364673,0.74
349,bighorn,n02415577,0.74
366,gorilla,n02480855,0.74
370,guenon,n02484975,0.74
430,basketball,n02802426,0.74
437,beacon,n02814860,0.74
495,china_cabinet,n03018349,0.74
518,crash_helmet,n03127747,0.74
525,dam,n03160309,0.74
552,feather_boa,n03325584,0.74
577,gong,n03447721,0.74
595,harvester,n03496892,0.74
634,lumbermill,n03697007,0.74
637,mailbox,n03710193,0.74
671,mountain_bike,n03792782,0.74
687,organ,n03854065,0.74
732,Polaroid_camera,n03976467,0.74
756,rain_barrel,n04049303,0.74
833,submarine,n04347754,0.74
881,upright,n04515003,0.74
897,washer,n04554684,0.74
914,yawl,n04612504,0.74
918,crossword_puzzle,n06785654,0.74
920,traffic_light,n06874185,0.74
954,banana,n07753592,0.74
959,carbonara,n07831146,0.74
996,hen-of-the-woods,n13052670,0.74
16,bulbul,n01560419,0.76
31,tree_frog,n01644373,0.76
72,black_and_gold_garden_spider,n01773157,0.76
84,peacock,n01806143,0.76
89,sulphur-crested_cockatoo,n01819313,0.76
107,jellyfish,n01910747,0.76
117,chambered_nautilus,n01968897,0.76
121,king_crab,n01981276,0.76
125,hermit_crab,n01986214,0.76
150,sea_lion,n02077923,0.76
190,Sealyham_terrier,n02095889,0.76
203,West_Highland_white_terrier,n02098286,0.76
214,Gordon_setter,n02101006,0.76
225,malinois,n02105162,0.76
256,Newfoundland,n02111277,0.76
261,keeshond,n02112350,0.76
327,starfish,n02317335,0.76
364,three-toed_sloth,n02457408,0.76
382,squirrel_monkey,n02494079,0.76
383,Madagascar_cat,n02497673,0.76
398,abacus,n02666196,0.76
426,barometer,n02794156,0.76
451,bolo_tie,n02865351,0.76
483,castle,n02980441,0.76
535,disk_brake,n03208938,0.76
561,forklift,n03384352,0.76
614,kimono,n03617480,0.76
670,motor_scooter,n03791053,0.76
722,ping-pong_ball,n03942813,0.76
724,pirate,n03947888,0.76
736,pool_table,n03982430,0.76
768,rugby_ball,n04118538,0.76
771,safe,n04125021,0.76
780,schooner,n04147183,0.76
825,stone_wall,n04326547,0.76
870,tricycle,n04482393,0.76
888,viaduct,n04532670,0.76
936,head_cabbage,n07714571,0.76
951,lemon,n07749582,0.76
958,hay,n07802026,0.76
971,bubble,n09229709,0.76
979,valley,n09468604,0.76
983,scuba_diver,n10565667,0.76
994,stinkhorn,n13040303,0.76
4,hammerhead,n01494475,0.78
8,hen,n01514859,0.78
10,brambling,n01530575,0.78
23,vulture,n01616318,0.78
37,box_turtle,n01669191,0.78
42,agama,n01687978,0.78
57,garter_snake,n01735189,0.78
81,ptarmigan,n01796340,0.78
115,sea_slug,n01950731,0.78
128,black_stork,n02002724,0.78
161,basset,n02088238,0.78
195,Boston_bull,n02096585,0.78
270,white_wolf,n02114548,0.78
306,rhinoceros_beetle,n02174001,0.78
336,marmot,n02361337,0.78
355,llama,n02437616,0.78
375,colobus,n02488702,0.78
393,anemone_fish,n02607072,0.78
404,airliner,n02690373,0.78
405,airship,n02692877,0.78
420,banjo,n02787622,0.78
450,bobsled,n02860847,0.78
471,cannon,n02950826,0.78
573,go-kart,n03444034,0.78
574,golf_ball,n03445777,0.78
575,golfcart,n03445924,0.78
580,greenhouse,n03457902,0.78
611,jigsaw_puzzle,n03598930,0.78
654,minibus,n03769881,0.78
672,mountain_tent,n03792972,0.78
766,rotisserie,n04111531,0.78
852,tennis_ball,n04409515,0.78
866,tractor,n04465501,0.78
896,washbasin,n04553703,0.78
913,wreck,n04606251,0.78
938,cauliflower,n07715103,0.78
941,acorn_squash,n07717410,0.78
973,coral_reef,n09256479,0.78
2,great_white_shark,n01484850,0.8
17,jay,n01580077,0.8
20,water_ouzel,n01601694,0.8
29,axolotl,n01632777,0.8
53,ringneck_snake,n01728920,0.8
93,hornbill,n01829413,0.8
111,nematode,n01930112,0.8
116,chiton,n01955084,0.8
143,oystercatcher,n02037110,0.8
149,dugong,n02074367,0.8
174,Norwegian_elkhound,n02091467,0.8
217,English_springer,n02102040,0.8
229,Old_English_sheepdog,n02105641,0.8
253,basenji,n02110806,0.8
254,pug,n02110958,0.8
260,chow,n02112137,0.8
288,leopard,n02128385,0.8
299,meerkat,n02138441,0.8
300,tiger_beetle,n02165105,0.8
308,fly,n02190166,0.8
331,hare,n02326432,0.8
363,armadillo,n02454379,0.8
365,orangutan,n02480495,0.8
403,aircraft_carrier,n02687172,0.8
510,container_ship,n03095699,0.8
528,dial_telephone,n03187595,0.8
555,fire_engine,n03345487,0.8
560,football_helmet,n03379051,0.8
568,fur_coat,n03404251,0.8
649,megalith,n03743016,0.8
704,parking_meter,n03891332,0.8
738,pot,n03991062,0.8
757,recreational_vehicle,n04065272,0.8
821,steel_arch_bridge,n04311004,0.8
840,swab,n04367480,0.8
847,tank,n04389033,0.8
853,thatch,n04417672,0.8
854,theater_curtain,n04418357,0.8
874,trolleybus,n04487081,0.8
915,yurt,n04613696,0.8
922,menu,n07565083,0.8
957,pomegranate,n07768694,0.8
1,goldfish,n01443537,0.82
12,house_finch,n01532829,0.82
18,magpie,n01582220,0.82
51,triceratops,n01704323,0.82
91,coucal,n01824575,0.82
96,toucan,n01843383,0.82
105,koala,n01882714,0.82
132,American_egret,n02009912,0.82
137,American_coot,n02018207,0.82
141,redshank,n02028035,0.82
144,pelican,n02051845,0.82
181,Bedlington_terrier,n02093647,0.82
191,Airedale,n02096051,0.82
216,clumber,n02101556,0.82
274,dhole,n02115913,0.82
276,hyena,n02117135,0.82
295,American_black_bear,n02133161,0.82
334,porcupine,n02346627,0.82
344,hippopotamus,n02398521,0.82
491,chain_saw,n03000684,0.82
533,dishrag,n03207743,0.82
564,four-poster,n03388549,0.82
594,harp,n03495258,0.82
661,Model_T,n03777568,0.82
739,potter's_wheel,n03992509,0.82
781,scoreboard,n04149813,0.82
801,snorkel,n04251144,0.82
822,steel_drum,n04311174,0.82
956,custard_apple,n07760859,0.82
992,agaric,n12998815,0.82
0,tench,n01440764,0.84
11,goldfinch,n01531178,0.84
71,scorpion,n01770393,0.84
80,black_grouse,n01795545,0.84
85,quail,n01806567,0.84
98,red-breasted_merganser,n01855032,0.84
146,albatross,n02058221,0.84
164,bluetick,n02088632,0.84
169,borzoi,n02090622,0.84
279,Arctic_fox,n02120079,0.84
289,snow_leopard,n02128757,0.84
291,lion,n02129165,0.84
